,itself-1,,inout-1,max-1,oppdir-1,samedir-1,,,lag-1,,inout-1,max-1,oppdir-1,samedir-1
"""34/7/2""",0.64,,0.61,0.53,0.64,0.58,,,,,,,,
"""8/1/1""",0.29,,0.25,0.27,0.29,0.21,,,,,,,,
"""8/2/1""",0.16,,0.11,0.37,0.16,0.06,,,,,,,,
"""42/2/2""",0.09,,0.11,0.07,0.09,0.13,,,,,,,,
"""43/2/1""",0.53,,0.48,0.48,0.53,0.43,,,,,,,,
"""43/2/2""",0.49,,0.53,0.43,0.49,0.58,,,,,,,,
"""10/4/2""",0.48,,0.28,-0.91,0.48,-0.01,,,,,,,,
"""6/5/1""",0.32,,0.30,0.65,0.32,0.27,,,,,,,,
"""8/2/2""",0.21,,0.17,-0.17,0.21,0.12,,,,,,,,
"""4/4/2""",0.51,,0.51,0.68,0.51,0.50,,,,,,,,
"""4/4/1""",0.44,,0.39,0.48,0.44,0.33,,,,,,,,
"""38/3/2""",0.13,,0.18,0.23,0.13,0.24,,,,,,,,
"""4/5/1""",0.50,,0.44,-0.16,0.50,0.37,,,,,,,,
"""11/2/1""",0.86,,0.87,0.90,0.86,0.88,,,,,,,,
"""11/2/2""",0.86,,0.86,0.86,0.86,0.87,,,,,,,,
"""11/3/1""",0.71,,0.76,0.90,0.71,0.82,,,,,,,,
"""11/3/2""",0.82,,0.79,0.86,0.82,0.74,,,,,,,,
"""10/7/1""",0.69,,0.63,0.49,0.69,0.49,,,,,,,,
"""10/7/2""",0.50,,0.51,0.49,0.50,0.53,,,,,,,,
"""7/14/1""",0.17,,0.21,0.38,0.17,0.27,,,,,,,,
"""7/14/2""",0.22,,0.20,0.43,0.22,0.18,,,,,,,,
"""10/6/1""",0.51,,0.43,0.51,0.51,0.32,,,,,,,,
"""4/6/2""",0.55,,0.51,0.90,0.55,0.46,,,,,,,,
"""7/1/1""",0.04,,0.13,0.04,0.04,0.24,,,,,,,,
"""10/1/2""",0.27,,0.31,0.37,0.27,0.37,,,,,,,,
"""33/5/1""",0.87,,0.88,0.92,0.87,0.89,,,,,,,,
"""10/1/1""",0.11,,0.15,0.15,0.11,0.22,,,,,,,,
"""4/5/2""",0.46,,0.46,-0.17,0.46,0.46,,,,,,,,
"""35/5/2""",0.52,,0.52,0.48,0.52,0.51,,,,,,,,
"""22/2/2""",0.50,,0.47,0.41,0.50,0.41,,,,,,,,
"""10/5/2""",-0.03,,-0.02,0.88,-0.03,-0.01,,,,,,,,
"""10/5/1""",0.08,,0.04,0.23,0.08,-0.02,,,,,,,,
"""7/10/1""",0.22,,0.18,0.00,0.22,0.13,,,,,,,,
"""7/10/2""",0.20,,0.18,0.00,0.20,0.15,,,,,,,,
"""10/4/1""",0.23,,0.27,-0.73,0.23,0.33,,,,,,,,
"""7/11/1""",0.31,,0.22,0.98,0.31,0.10,,,,,,,,
"""11/1/2""",0.88,,0.86,0.82,0.88,0.82,,,,,,,,
"""11/1/1""",0.85,,0.86,0.83,0.85,0.89,,,,,,,,
"""35/3/2""",0.29,,0.27,0.14,0.29,0.25,,,,,,,,
"""15/9/2""",0.20,,0.12,0.32,0.20,0.04,,,,,,,,
"""15/9/1""",0.02,,0.09,0.27,0.02,0.17,,,,,,,,
"""9/11/1""",0.08,,0.09,0.06,0.08,0.10,,,,,,,,
"""35/3/1""",0.19,,0.21,0.04,0.19,0.23,,,,,,,,
"""35/2/2""",0.11,,0.16,0.10,0.11,0.21,,,,,,,,
"""22/13/1""",0.31,,0.30,0.47,0.31,0.29,,,,,,,,
"""9/9/2""",0.53,,0.45,0.59,0.53,0.34,,,,,,,,
"""9/9/1""",0.64,,0.58,0.48,0.64,0.50,,,,,,,,
"""14/9/2""",-0.07,,-0.10,0.44,-0.07,-0.13,,,,,,,,
"""14/9/1""",0.09,,0.06,0.19,0.09,0.01,,,,,,,,
"""9/7/2""",0.91,,0.91,0.90,0.91,0.91,,,,,,,,
"""38/3/1""",0.41,,0.46,0.56,0.41,0.51,,,,,,,,
"""34/9/1""",0.28,,0.32,0.29,0.28,0.36,,,,,,,,
"""13/2/2""",0.81,,0.82,0.81,0.81,0.84,,,,,,,,
"""14/8/2""",0.38,,0.46,0.72,0.38,0.55,,,,,,,,
"""14/8/1""",0.38,,0.38,0.27,0.38,0.39,,,,,,,,
"""13/2/1""",0.84,,0.83,0.83,0.84,0.82,,,,,,,,
"""7/9/2""",0.27,,0.31,0.42,0.27,0.37,,,,,,,,
"""9/2/1""",0.78,,0.74,0.52,0.78,0.70,,,,,,,,
"""9/2/2""",0.76,,0.74,0.52,0.76,0.72,,,,,,,,
"""15/5/2""",0.44,,0.45,0.39,0.44,0.46,,,,,,,,
"""15/5/1""",0.27,,0.28,0.35,0.27,0.28,,,,,,,,
"""46/4/1""",0.52,,0.46,0.60,0.52,0.38,,,,,,,,
"""11/4/2""",0.20,,0.19,0.15,0.20,0.18,,,,,,,,
"""15/6/1""",0.27,,0.23,0.25,0.27,0.18,,,,,,,,
"""15/6/2""",0.30,,0.33,0.37,0.30,0.37,,,,,,,,
"""11/4/1""",0.53,,0.50,0.54,0.53,0.46,,,,,,,,
"""15/7/1""",0.13,,0.17,-0.17,0.13,0.20,,,,,,,,
"""11/5/2""",0.42,,0.48,0.60,0.42,0.54,,,,,,,,
"""11/5/1""",0.17,,0.18,0.15,0.17,0.20,,,,,,,,
"""15/7/2""",0.18,,0.15,-0.06,0.18,0.12,,,,,,,,
"""14/1/2""",0.11,,0.11,0.11,0.11,0.11,,,,,,,,
"""7/8/1""",0.37,,0.35,0.47,0.37,0.33,,,,,,,,
"""7/8/2""",0.36,,0.35,0.47,0.36,0.34,,,,,,,,
"""15/8/1""",0.07,,0.14,0.28,0.07,0.21,,,,,,,,
"""5/2/1""",0.66,,0.63,0.82,0.66,0.59,,,,,,,,
"""16/7/2""",0.66,,0.63,0.53,0.66,0.59,,,,,,,,
"""9/10/2""",0.39,,0.47,0.22,0.39,0.55,,,,,,,,
"""16/7/1""",0.58,,0.61,0.50,0.58,0.65,,,,,,,,
"""30/8/1""",0.14,,0.12,0.11,0.14,0.08,,,,,,,,
"""21/3/2""",0.11,,0.16,0.10,0.11,0.21,,,,,,,,
